"parameter","value","lower","upper"
"Kgsi",0.000565274715163953,0.000563915470234882,0.00056657737459579
"Kgsd",0.00443639765582565,0.00438114019919488,0.00449239099640899
"fI0",0.346940244428302,0.262032224389912,0.436206391282516
"alphafI",0.00565134560858331,0.00425452972414048,0.00746467894227796
"thetafI",0.9,NA,NA
"gswm",0.477943392167617,0.457308107066551,0.498869050021026
"Rm25",0.860726704130612,0.645389523630312,1.07606388463091
"RB",13.7479670237008,13.7165831382567,13.7793509091449
"Jmax25",130.15502224951,129.92757939628,130.48477673723
"Kinh0",1.20697063682601e-07,1.20221199102629e-07,1.21172928262572e-07
"fprot",4.11689189998871e-07,4.08865135766629e-07,4.14513244231113e-07
"Krca",8.2545694202475e-05,8.21107666914428e-05,8.30175700374892e-05
"fRBmin",0.0222373887989321,0.0189338827156387,0.0255422880312601
"Vrmax",77.275622855862,76.3291325843265,78.1968678247206
"TPU25",8.14305870331984,8.11357300666822,8.17505041176551
"PhiqEmax",0.266164499798091,0.265505936062228,0.266823063533955
"RCA_rca2",29.0908632360765,NA,NA
"TPU25_spsa",5.99101196233751,NA,NA
"KiqEp",0.116,0.074032898091131,Inf
"KiqEz",0.00553544809942178,0.00543456462833664,0.00563633157050693
"gamma1",0.345753088857283,0.340795390362292,0.351176076587133
"gamma2",0.372593282586298,0.36886057205777,0.376325993114827
"KdqEp",0.116,0.074032898091131,Inf
"KdqEz",0.00553544809942178,0.00543456462833664,0.00563633157050693
"Jmax25_rca2",111.430274719174,NA,NA
"Jmax25_npq4",119.046258956129,NA,NA
"Jmax25_rwt43",140.100111056219,NA,NA
