"parameter","value","lower","upper"
"sigma2",0.5,NA,NA
"Jmax25",109.878150918574,106.539346278838,113.494488007251
"DHaJmax",80.7329259259907,48.9530457661029,-1323203068.14785
"DHdJmax",87.2066438146784,74.9525727180904,102.939014632749
"DsJmax",0.296969715456592,0.251521508106879,0.462085162525254
"kD0",4.55e+08,NA,NA
"kDinh",5e+09,NA,NA
"kf",6.9e+07,NA,NA
"kp",2.65e+09,NA,NA
"fcyc",0.05,NA,NA
"fpseudo",0.13,NA,NA
"theta",0.7,NA,NA
"fqE",NA,NA,NA
"PhiqEmax",NA,NA,NA
"KiqE",NA,NA,NA
"KdqE",NA,NA,NA
"Kinh0",NA,NA,NA
"fprot",NA,NA,NA
"Krep25",0.000112900586191477,0.000108337906253983,0.000117479164505886
"DHaKrep",181.023898863042,155.711256490242,211.177112990168
"DHdKrep",240.280252313638,225.239807024492,258.448633513339
"DsKrep",0.802720873514693,0.751133118756485,0.866127972853181
"alphar_alpha25",0.00982924800599111,0.00654844158209618,0.013110054429886
"DHaAlphar",78.2826324221039,71.9676099211063,84.5976549231015
"DHaKalpha",90.4975961490746,68.8115713667752,120.143094259661
"DsKalpha",1.07938150928315,-3.77438197145126e+43,698863406135.258
"DHdKalpha",327.656161283356,-7479076204004009,435.522371125993
"Iac",1.59999999906665,1.56637818330028,1.63362181483301
"alpharac",0.0537490484044239,0.0490986362367965,0.0583994605720513
"alpharav",0.199113760748022,0.173482306768779,0.224745214727265
"thetaalphar",-1.32453052771689,-2.47132320581771,-0.177737849616083
"Kialpha25",0.00208025987820006,0.0014468935102575,0.00271362624614261
"Kdalpha25",0.0036457659233034,0.00322379458122786,0.00406773726537894
"fR0",0.0714811887298568,-0.00109015406140965,0.142586041267006
"alphafR",0.00227800545530804,0.0018989173966604,0.00274773522469766
"thetafR",1,0.972909963416552,1
"KiR",0.00529925720450895,0.00394886175263585,0.00709217030684846
"KdR",0.00684176837433673,0.0045300067867994,0.0107983307704515
"Vrmax",NA,NA,NA
"KmPGA",5,NA,NA
"RB",NA,NA,NA
"Kc25",4.15044054352984,3.73433012743438,4.55126135499291
"DHaKc",41.8225602459279,32.5391762356157,51.8441242886184
"Ko25",0.830088108705968,0.746866025486877,0.910252270998582
"DHaKo",55.1481852168217,42.1452552694054,69.925823965997
"Kmc25",261.662852429436,228.389645529173,293.819151934675
"DHaKmc",49.4279954893209,38.0595608269524,62.1291818865688
"Kmo25",198.478601405805,179.684870658776,216.706684139011
"DHaKmo",29.082767381351,19.799289018086,38.9648136532832
"KaRCA",12.2211876867223,6.22770865311888,21.545223532243
"ac",0.262729077899667,0.0492463231266023,0.476211832672731
"bc",0.0137025406569875,0.00847241269901444,0.0189326686149606
"KdRB",0.00212069368326209,0.000295073222719951,0.00779799618939388
"Krca",NA,NA,NA
"fRBmin",NA,NA,NA
"O2",210,NA,NA
"RCA",117.37,NA,NA
"DHdRCA",308.598351015308,247.604016401931,405.003154198709
"ToRCA",300.43210182844,299.308723154026,301.508068697253
"DHaRCA",20.8713126439763,6.16458666178533,41.8929680127421
"KmRuBP",0.022,NA,NA
"Vch",7,NA,NA
"KiPGA",0.84,NA,NA
"TPU25",8.48377564301004,8.03928671264981,8.92827053309439
"DHaTPU",52.835103925067,45.9594849169991,59.3340896704845
"DHdTPU",370.601373708597,369.837099294007,371.473331715383
"DsTPU",1.19951197011306,1.19668697229852,1.20199866253601
"DHaGc",129.730508902175,88.5694951584545,185.587762955452
"DHdGc",143.131712841736,107.555029577701,195.636778112523
"DsGc",0.502100721457804,0.375231856143086,0.68678710538642
"DHaGw",129.730508902175,88.5694951584545,185.587762955452
"DHdGw",143.131712841736,107.555029577701,195.636778112523
"DsGw",0.502100721457804,0.375231856143086,0.68678710538642
"Rm25",NA,NA,NA
"DHaRm",56.1671812005807,41.9573072695662,72.6115743657163
"kPR",0.023953891848214,0.0158085240898046,0.0384211208482874
"Vref",0.00015,NA,NA
"Scm",7.1,NA,NA
"Sm",9.8,NA,NA
"falphaSc",0.93,NA,NA
"gcm25",0.39,NA,NA
"gw25",0.75,NA,NA
"D0",1,NA,NA
"fI0",NA,NA,NA
"gswm",NA,NA,NA
"alphafI",NA,NA,NA
"thetafI",NA,NA,NA
"Kgsi",NA,NA,NA
"Kgsd",NA,NA,NA
"gbw",9.2,NA,NA
"volume_chamber",80,NA,NA
"leaf_surface",2,NA,NA
"Flow",500,NA,NA
"alphab",0.92,NA,NA
"alphag",0.72,NA,NA
"alphared",0.83,NA,NA
"alphabp",0.66,NA,NA
"alphagp",0.6,NA,NA
"alpharp",0.8,NA,NA
"KdqEp",0.03,NA,NA
"KdqEz",0.000483,NA,NA
